Data_as_of,Age_group,COVID_Deaths
12/02/2020,All Ages,249570
12/02/2020,Under 1 year,29
12/02/2020,0-17 years,127
12/02/2020,1-4 years,16
12/02/2020,5-14 years,44
12/02/2020,15-24 years,439
12/02/2020,18-29 years,1059
12/02/2020,25-34 years,1852
12/02/2020,30-49 years,10916
12/02/2020,35-44 years,4771
12/02/2020,45-54 years,12701
12/02/2020,50-64 years,38625
12/02/2020,55-64 years,30875
12/02/2020,65-74 years,53579
12/02/2020,75-84 years,67305
12/02/2020,85 years and over,77959
12/02/2020,All Ages,135078
12/02/2020,Under 1 year,20
12/02/2020,0-17 years,75
12/02/2020,1-4 years,8
12/02/2020,5-14 years,29
12/02/2020,15-24 years,267
12/02/2020,18-29 years,671
12/02/2020,25-34 years,1192
12/02/2020,30-49 years,7367
12/02/2020,35-44 years,3208
12/02/2020,45-54 years,8573
12/02/2020,50-64 years,25089
12/02/2020,55-64 years,19905
12/02/2020,65-74 years,32798
12/02/2020,75-84 years,37255
12/02/2020,85 years and over,31823
12/02/2020,All Ages,114485
12/02/2020,Under 1 year,9
12/02/2020,0-17 years,52
12/02/2020,1-4 years,8
12/02/2020,5-14 years,15
12/02/2020,15-24 years,172
12/02/2020,18-29 years,388
12/02/2020,25-34 years,660
12/02/2020,30-49 years,3549
12/02/2020,35-44 years,1563
12/02/2020,45-54 years,4126
12/02/2020,50-64 years,13534
12/02/2020,55-64 years,10970
12/02/2020,65-74 years,20780
12/02/2020,75-84 years,30048
12/02/2020,85 years and over,46134
12/02/2020,All Ages,7
12/02/2020,Under 1 year,0
12/02/2020,0-17 years,0
12/02/2020,1-4 years,0
12/02/2020,5-14 years,0
12/02/2020,15-24 years,0
12/02/2020,18-29 years,0
12/02/2020,25-34 years,0
12/02/2020,30-49 years,0
12/02/2020,35-44 years,0
12/02/2020,45-54 years,2
12/02/2020,50-64 years,2
12/02/2020,55-64 years,0
12/02/2020,65-74 years,1
12/02/2020,75-84 years,2
12/02/2020,85 years and over,2
12/02/2020,All Ages,4453
12/02/2020,All Ages,2310
12/02/2020,Under 1 year,
12/02/2020,0-17 years,
12/02/2020,1-4 years,0
12/02/2020,5-14 years,0
12/02/2020,15-24 years,
12/02/2020,18-29 years,13
12/02/2020,25-34 years,20
12/02/2020,30-49 years,118
12/02/2020,35-44 years,57
12/02/2020,45-54 years,144
12/02/2020,50-64 years,440
12/02/2020,55-64 years,347
12/02/2020,65-74 years,643
12/02/2020,75-84 years,664
12/02/2020,85 years and over,431
12/02/2020,All Ages,2143
12/02/2020,Under 1 year,0
12/02/2020,0-17 years,0
12/02/2020,1-4 years,0
12/02/2020,5-14 years,0
12/02/2020,15-24 years,
12/02/2020,18-29 years,
12/02/2020,25-34 years,13
12/02/2020,30-49 years,88
12/02/2020,35-44 years,37
12/02/2020,45-54 years,118
12/02/2020,50-64 years,344
12/02/2020,55-64 years,266
12/02/2020,65-74 years,463
12/02/2020,75-84 years,565
12/02/2020,85 years and over,677
12/02/2020,All Ages,0
12/02/2020,Under 1 year,0
12/02/2020,0-17 years,0
12/02/2020,1-4 years,0
12/02/2020,5-14 years,0
12/02/2020,15-24 years,0
12/02/2020,18-29 years,0
12/02/2020,25-34 years,0
12/02/2020,30-49 years,0
12/02/2020,35-44 years,0
12/02/2020,45-54 years,0
12/02/2020,50-64 years,0
12/02/2020,55-64 years,0
12/02/2020,65-74 years,0
12/02/2020,75-84 years,0
12/02/2020,85 years and over,0
12/02/2020,All Ages,94
12/02/2020,All Ages,51
12/02/2020,Under 1 year,0
12/02/2020,0-17 years,0
12/02/2020,1-4 years,0
12/02/2020,5-14 years,0
12/02/2020,15-24 years,0
12/02/2020,18-29 years,0
12/02/2020,25-34 years,0
12/02/2020,30-49 years,
12/02/2020,35-44 years,
12/02/2020,45-54 years,
12/02/2020,50-64 years,
12/02/2020,55-64 years,
12/02/2020,65-74 years,16
12/02/2020,75-84 years,14
12/02/2020,85 years and over,10
12/02/2020,All Ages,43
12/02/2020,Under 1 year,0
12/02/2020,0-17 years,0
12/02/2020,1-4 years,0
12/02/2020,5-14 years,0
12/02/2020,15-24 years,0
12/02/2020,18-29 years,
12/02/2020,25-34 years,
12/02/2020,30-49 years,
12/02/2020,35-44 years,
12/02/2020,45-54 years,
12/02/2020,50-64 years,11
12/02/2020,55-64 years,10
12/02/2020,65-74 years,
12/02/2020,75-84 years,
12/02/2020,85 years and over,
12/02/2020,All Ages,0
12/02/2020,Under 1 year,0
12/02/2020,0-17 years,0
12/02/2020,1-4 years,0
12/02/2020,5-14 years,0
12/02/2020,15-24 years,0
12/02/2020,18-29 years,0
12/02/2020,25-34 years,0
12/02/2020,30-49 years,0
12/02/2020,35-44 years,0
12/02/2020,45-54 years,0
12/02/2020,50-64 years,0
12/02/2020,55-64 years,0
12/02/2020,65-74 years,0
12/02/2020,75-84 years,0
12/02/2020,85 years and over,0
12/02/2020,All Ages,5773
12/02/2020,All Ages,3321
12/02/2020,Under 1 year,0
12/02/2020,0-17 years,
12/02/2020,1-4 years,
12/02/2020,5-14 years,
12/02/2020,15-24 years,18
12/02/2020,18-29 years,40
12/02/2020,25-34 years,60
12/02/2020,30-49 years,270
12/02/2020,35-44 years,125
12/02/2020,45-54 years,279
12/02/2020,50-64 years,737
12/02/2020,55-64 years,566
12/02/2020,65-74 years,787
