state,tot_cases,tot_death
AZ,9945,996
SC,99460,998
LA,99354,884
MN,99134,942
FSM,0,0
NJ,99989,9946
DC,9984,96
OR,999,99
VA,99189,977
RI,9933,997
KY,9704,997
WY,980,8
NH,985,92
MI,99856,959
NV,9805,991
WI,9939,997
ID,9928,98
CA,98980,9869
CT,9784,971
NE,9772,98
MT,9872,98
NC,99778,996
VT,990,8
MD,99693,945
DE,9972,92
MO,9918,998
VI,998,9
IL,98030,99
ME,990,99
GU,984,9
ND,991,99
WA,9887,992
MS,99558,989
AL,999,985
IN,99804,992
OH,99969,975
RMI,0,0
TN,9952,999
IA,9703,989
NM,9933,99
PA,99478,90
SD,9897,98
NY,99138,96
TX,99851,9983
WV,9967,99
GA,9713,944
AS,0,0
MA,96965,957
KS,98,92
CO,9634,986
FL,9925,9932
AK,978,9
AR,993,986
PW,0,0
OK,99614,999
PR,974,99
MP,8,2
UT,9944,98
NYC,98308,914
HI,9957,99
