date,state,hospitalized,positive,recovered,totalTestResults
2020-10-10,AK,,10428,5761,499253
2020-10-10,AL,18179,164526,71240,1204320
2020-10-10,AR,5900,92220,82924,1137716
2020-10-10,AS,,0,,1616
2020-10-10,AZ,20229,224978,36920,1556015
2020-10-10,CA,,842776,,15878445
2020-10-10,CO,7855,76619,6792,1518454
2020-10-10,CT,11845,60038,9522,1796539
2020-10-10,DC,,15918,12492,429099
2020-10-10,DE,,21998,11338,307645
2020-10-10,FL,46201,728921,,5518162
2020-10-10,GA,29611,330269,,3132559
2020-10-10,GU,,3056,2072,54816
2020-10-10,HI,911,13498,10651,447810
2020-10-10,IA,,94271,75948,814078
2020-10-10,ID,2013,47088,23881,330962
2020-10-10,IL,,319461,,6246673
2020-10-10,IN,13756,133411,101184,1474639
2020-10-10,KS,3185,65807,2275,560189
2020-10-10,KY,6094,79445,13539,1536175
2020-10-10,LA,,173406,157873,2450087
2020-10-10,MA,12861,138340,116364,4670758
2020-10-10,MD,16006,130795,7721,1719802
2020-10-10,ME,462,5696,4951,491082
2020-10-10,MI,,149464,104271,4010309
2020-10-10,MN,8302,110828,99054,2288662
2020-10-10,MO,,144230,,2075699
2020-10-10,MP,4,77,29,15198
2020-10-10,MS,6053,104638,90577,809293
2020-10-10,MT,885,18117,11361,388649
2020-10-10,NC,,229752,192644,3350815
2020-10-10,ND,1062,26628,22123,678197
2020-10-10,NE,2499,51144,36091,504432
2020-10-10,NH,750,9092,7945,493109
2020-10-10,NJ,23868,212877,35326,3914021
2020-10-10,NM,3678,32241,18335,980053
2020-10-10,NV,,85399,2270,734943
2020-10-10,NY,89995,473143,77514,11921319
2020-10-10,OH,16355,167458,142479,3583857
2020-10-10,OK,7218,98621,83633,1339139
2020-10-10,OR,2741,36935,5870,736598
2020-10-10,PA,,171050,138550,2190490
2020-10-10,PR,,53364,24129,359336
2020-10-10,RI,2902,26294,2422,864638
2020-10-10,SC,9561,156621,77700,1470311
2020-10-10,SD,1829,27947,22128,216485
2020-10-10,TN,9180,212649,192958,3141232
2020-10-10,TX,,790060,701583,6830631
2020-10-10,UT,4275,84644,62401,912894
2020-10-10,VA,19390,157905,18447,2238204
2020-10-10,VI,,1324,1286,21758
2020-10-10,VT,,1857,1651,171179
2020-10-10,WA,7762,92560,,2037946
2020-10-10,WI,8319,155602,117865,1685908
2020-10-10,WV,,17913,13086,628006
2020-10-10,WY,323,7455,5807,110631
2020-10-09,AK,,10176,5734,493070
2020-10-09,AL,17989,163465,71240,1196452
2020-10-09,AR,5805,90145,81563,1111526
2020-10-09,AS,,0,,1616
2020-10-09,AZ,20199,224084,36723,1543445
2020-10-09,CA,,838606,,15736497
2020-10-09,CO,7834,75785,6756,1496198
2020-10-09,CT,11845,60038,9522,1796539
2020-10-09,DC,,15843,12456,422225
2020-10-09,DE,,21827,11236,304367
2020-10-09,FL,46201,728921,,5518162
2020-10-09,GA,29510,329032,,3112629
2020-10-09,GU,,2989,2072,54495
2020-10-09,HI,900,13333,10604,443992
2020-10-09,IA,,93187,75113,808801
2020-10-09,ID,1997,46426,23678,326789
2020-10-09,IL,,316556,,6180417
2020-10-09,IN,13648,131493,101184,1463436
2020-10-09,KS,3185,65807,2275,560189
2020-10-09,KY,6033,78456,13417,1525264
2020-10-09,LA,,173406,157873,2450087
2020-10-09,MA,12846,137701,116364,4601434
2020-10-09,MD,15956,130159,7704,1707367
2020-10-09,ME,460,5666,4933,491052
2020-10-09,MI,,147816,99521,3965016
2020-10-09,MN,8251,109312,97715,2256165
2020-10-09,MO,,139164,,2000979
2020-10-09,MP,4,75,29,15196
2020-10-09,MS,6053,103681,90577,808336
2020-10-09,MT,868,17399,10863,386746
2020-10-09,NC,,227431,192644,3311285
2020-10-09,ND,1037,26040,21755,670039
2020-10-09,NE,2481,50059,35456,494467
2020-10-09,NH,747,8878,7898,482118
2020-10-09,NJ,23821,212013,35247,3878988
2020-10-09,NM,3652,31756,18045,973945
2020-10-09,NV,,84593,2270,730234
2020-10-09,NY,89995,471696,77432,11786740
2020-10-09,OH,16301,166102,141642,3537962
2020-10-09,OK,7124,97088,82482,1321971
2020-10-09,OR,2741,36526,5870,730671
2020-10-09,PA,,169308,137139,2169073
2020-10-09,PR,,52892,23603,358864
2020-10-09,RI,2902,26294,2422,864638
2020-10-09,SC,9519,155676,77102,1452568
2020-10-09,SD,1782,27215,21750,214153
2020-10-09,TN,9133,211003,191651,3116772
2020-10-09,TX,,785830,698481,6746030
2020-10-09,UT,4220,83290,61326,901048
2020-10-09,VA,19299,156649,18336,2219510
2020-10-09,VI,,1324,1286,21758
2020-10-09,VT,,1846,1646,170439
2020-10-09,WA,7733,91918,,2016471
2020-10-09,WI,8199,152631,115826,1671293
2020-10-09,WV,,17707,12896,617623
2020-10-09,WY,317,7335,5732,110511
2020-10-08,AK,,9996,5672,491171
2020-10-08,AL,17989,161975,71240,1184710
2020-10-08,AR,5805,90145,81563,1111526
2020-10-08,AS,,0,,1616
2020-10-08,AZ,20171,223401,36534,1531095
2020-10-08,CA,,834800,,15623623
2020-10-08,CO,7771,74922,6727,1477301
2020-10-08,CT,11845,59748,9522,1779258
2020-10-08,DC,,15765,12431,416816
2020-10-08,DE,,21682,11146,301502
2020-10-08,FL,46005,726013,,5489758
2020-10-08,GA,29386,327407,,3083121
2020-10-08,GU,,2934,2067,54071
2020-10-08,HI,894,13232,10573,440089
2020-10-08,IA,,92145,74250,803037
2020-10-08,ID,1972,45753,23475,324328
2020-10-08,IL,,313439,,6108519
2020-10-08,IN,13537,129677,100528,1451391
2020-10-08,KS,3121,63952,2231,549398
2020-10-08,KY,5814,77455,13113,1500613
2020-10-08,LA,,173149,157873,2440215
2020-10-08,MA,12830,136936,116364,4541516
2020-10-08,MD,15898,129425,7676,1696299
2020-10-08,ME,459,5639,4900,482615
2020-10-08,MI,,146493,99521,3921840
2020-10-08,MN,8187,107922,97254,2224194
2020-10-08,MO,,137156,,1979390
2020-10-08,MP,4,75,29,15196
2020-10-08,MS,6053,102819,90577,807474
2020-10-08,MT,851,16677,10656,381665
2020-10-08,NC,,225397,192644,3268955
2020-10-08,ND,1016,25384,21242,661206
2020-10-08,NE,2468,49396,35295,490130
2020-10-08,NH,747,8878,7898,482118
2020-10-08,NJ,23763,211148,35195,3842667
2020-10-08,NM,3625,31372,17766,965319
2020-10-08,NV,,83827,2261,724198
2020-10-08,NY,89995,470104,77351,11647440
2020-10-08,OH,16200,164262,140808,3489730
2020-10-08,OK,7022,95564,81289,1304870
2020-10-08,OR,2705,35634,5870,718568
2020-10-08,PA,,167928,136021,2153031
2020-10-08,PR,,52294,22805,358266
2020-10-08,RI,2889,26045,2408,859429
2020-10-08,SC,9475,154755,76477,1430639
2020-10-08,SD,1717,26411,21496,211291
2020-10-08,TN,9094,209447,189990,3089853
2020-10-08,TX,,781794,695194,6703106
2020-10-08,UT,4167,81947,60220,892022
2020-10-08,VA,19211,155535,18278,2189792
2020-10-08,VI,,1322,1286,21688
2020-10-08,VT,,1838,1638,169402
2020-10-08,WA,7703,91208,,1987477
2020-10-08,WI,8061,149467,113596,1656295
2020-10-08,WV,,17325,12699,609660
2020-10-08,WY,313,7092,5603,108942
2020-10-07,AK,,9861,5626,490074
2020-10-07,AL,17915,161418,67948,1180818
2020-10-07,AR,5740,88880,80703,1097556
2020-10-07,AS,,0,,1616
2020-10-07,AZ,20050,222538,36336,1518694
2020-10-07,CA,,831225,,15556706
2020-10-07,CO,7721,74191,6696,1459332
2020-10-07,CT,11699,59364,9408,1752045
2020-10-07,DC,,15697,12350,412656
2020-10-07,DE,,21550,11071,299173
2020-10-07,FL,45777,722707,,5459711
2020-10-07,GA,29308,326142,,3058187
2020-10-07,GU,,2868,1924,53488
2020-10-07,HI,889,13124,10526,436498
2020-10-07,IA,,90884,73311,796057
2020-10-07,ID,1932,45082,23288,321794
2020-10-07,IL,,310380,,6036028
2020-10-07,IN,13430,128227,99802,1440917
2020-10-07,KS,3121,63952,2231,549398
2020-10-07,KY,5679,76587,12800,1481331
