date,totalDeaths
2020-10-10,206133.0
2020-10-09,205470.0
2020-10-08,204566.0
2020-10-07,203591.0
2020-10-06,202675.0
2020-10-05,202041.0
2020-10-04,201715.0
2020-10-03,201352.0
2020-10-02,200611.0
2020-10-01,199776.0
2020-09-30,198925.0
2020-09-29,197864.0
2020-09-28,197125.0
2020-09-27,196868.0
2020-09-26,196561.0
2020-09-25,195692.0
2020-09-24,194848.0
2020-09-23,193927.0
2020-09-22,192768.0
2020-09-21,191914.0
2020-09-20,191627.0
2020-09-19,191300.0
2020-09-18,190560.0
2020-09-17,189659.0
2020-09-16,188796.0
2020-09-15,187596.0
2020-09-14,186565.0
2020-09-13,186161.0
2020-09-12,185771.0
2020-09-11,184961.0
2020-09-10,183943.0
2020-09-09,182773.0
2020-09-08,181689.0
2020-09-07,181331.0
2020-09-06,181106.0
2020-09-05,180657.0
2020-09-04,179739.0
2020-09-03,178741.0
2020-09-02,177671.0
2020-09-01,176639.0
2020-08-31,175612.0
2020-08-30,175246.0
2020-08-29,174771.0
2020-08-28,173756.0
2020-08-27,172732.0
2020-08-26,171603.0
2020-08-25,170305.0
2020-08-24,169158.0
2020-08-23,168815.0
2020-08-22,168243.0
2020-08-21,167214.0
2020-08-20,166091.0
2020-08-19,164957.0
2020-08-18,163537.0
2020-08-17,162341.0
2020-08-16,161934.0
2020-08-15,161315.0
2020-08-14,160094.0
2020-08-13,158878.0
2020-08-12,157715.0
2020-08-11,156196.0
2020-08-10,154870.0
2020-08-09,154444.0
2020-08-08,153828.0
2020-08-07,152739.0
2020-08-06,151406.0
2020-08-05,150155.0
2020-08-04,148809.0
2020-08-03,147554.0
2020-08-02,147035.0
2020-08-01,146537.0
2020-07-31,145347.0
2020-07-30,144035.0
2020-07-29,142776.0
2020-07-28,141284.0
2020-07-27,140162.0
2020-07-26,139102.0
2020-07-25,138543.0
2020-07-24,137520.0
2020-07-23,136344.0
2020-07-22,135288.0
2020-07-21,134117.0
2020-07-20,133078.0
2020-07-19,132715.0
2020-07-18,132188.0
2020-07-17,131316.0
2020-07-16,130365.0
2020-07-15,129418.0
2020-07-14,128560.0
2020-07-13,127824.0
2020-07-12,127497.0
2020-07-11,127021.0
2020-07-10,126264.0
2020-07-09,125410.0
2020-07-08,124543.0
2020-07-07,123736.0
2020-07-06,122813.0
2020-07-05,122570.0
2020-07-04,122361.0
2020-07-03,122055.0
2020-07-02,121457.0
2020-07-01,120762.0
2020-06-30,120061.0
2020-06-29,119465.0
2020-06-28,119133.0
2020-06-27,118862.0
2020-06-26,118351.0
2020-06-25,117714.0
2020-06-24,117067.0
2020-06-23,116343.0
2020-06-22,115633.0
2020-06-21,115347.0
2020-06-20,115053.0
2020-06-19,114424.0
2020-06-18,113769.0
2020-06-17,113064.0
2020-06-16,112297.0
2020-06-15,111567.0
2020-06-14,111186.0
2020-06-13,110830.0
2020-06-12,110136.0
2020-06-11,109361.0
2020-06-10,108462.0
2020-06-09,107575.0
2020-06-08,106673.0
2020-06-07,106012.0
2020-06-06,105565.0
2020-06-05,104837.0
2020-06-04,104011.0
2020-06-03,103118.0
2020-06-02,102125.0
2020-06-01,101163.0
2020-05-31,100495.0
2020-05-30,99843.0
2020-05-29,98911.0
2020-05-28,97727.0
2020-05-27,96496.0
2020-05-26,95175.0
2020-05-25,94530.0
2020-05-24,93971.0
2020-05-23,93291.0
2020-05-22,92228.0
2020-05-21,90887.0
2020-05-20,89493.0
2020-05-19,88094.0
2020-05-18,86768.0
2020-05-17,85920.0
2020-05-16,85071.0
2020-05-15,84084.0
2020-05-14,82577.0
2020-05-13,80698.0
2020-05-12,78994.0
2020-05-11,77508.0
2020-05-10,76616.0
2020-05-09,75580.0
2020-05-08,74135.0
2020-05-07,72337.0
2020-05-06,69585.0
2020-05-05,67637.0
2020-05-04,65185.0
2020-05-03,64150.0
2020-05-02,62918.0
2020-05-01,61356.0
2020-04-30,59577.0
2020-04-29,57438.0
2020-04-28,54725.0
2020-04-27,52653.0
2020-04-26,51383.0
2020-04-25,50168.0
2020-04-24,48420.0
2020-04-23,46525.0
2020-04-22,44734.0
2020-04-21,42636.0
2020-04-20,40169.0
2020-04-19,38371.0
2020-04-18,36599.0
2020-04-17,34706.0
2020-04-16,32587.0
2020-04-15,30387.0
2020-04-14,27843.0
2020-04-13,25507.0
2020-04-12,23864.0
2020-04-11,22161.0
2020-04-10,20107.0
2020-04-09,17999.0
2020-04-08,15956.0
2020-04-07,13946.0
2020-04-06,11922.0
2020-04-05,10604.0
2020-04-04,9264.0
2020-04-03,7782.0
2020-04-02,6496.0
2020-04-01,5324.0
2020-03-31,4313.0
2020-03-30,3423.0
2020-03-29,2834.0
2020-03-28,2313.0
2020-03-27,1775.0
2020-03-26,1369.0
2020-03-25,1050.0
2020-03-24,815.0
2020-03-23,581.0
2020-03-22,480.0
2020-03-21,334.0
2020-03-20,272.0
2020-03-19,203.0
2020-03-18,155.0
2020-03-17,123.0
2020-03-16,100.0
2020-03-15,79.0
2020-03-14,64.0
2020-03-13,55.0
2020-03-12,51.0
2020-03-11,43.0
2020-03-10,37.0
2020-03-09,35.0
2020-03-08,31.0
2020-03-07,27.0
2020-03-06,26.0
2020-03-05,20.0
2020-03-04,16.0
2020-03-03,14.0
2020-03-02,11.0
2020-03-01,8.0
2020-02-29,5.0
2020-02-28,4.0
2020-02-26,2.0
2020-02-27,2.0
2020-02-13,0.0
2020-02-25,0.0
2020-02-22,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-11,0.0
2020-02-10,0.0
2020-02-21,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-14,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-12,0.0
2020-02-15,0.0
2020-01-22,
2020-02-05,
2020-02-04,
2020-01-23,
2020-02-08,
2020-02-02,
2020-01-28,
2020-01-30,
2020-02-03,
2020-01-31,
2020-01-29,
2020-01-27,
2020-02-07,
2020-01-24,
2020-01-26,
2020-02-09,
2020-01-25,
2020-02-06,
2020-02-01,
