date,tot_cases
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,1
3/9/20,1
3/10/20,1
3/11/20,1
3/12/20,4
3/13/20,6
3/14/20,7
3/15/20,8
3/16/20,11
3/17/20,16
3/18/20,21
3/19/20,35
3/20/20,44
3/21/20,55
3/22/20,64
3/23/20,82
3/24/20,98
3/25/20,98
3/26/20,168
3/27/20,202
3/28/20,261
3/29/20,319
3/30/20,368
3/31/20,428
4/1/20,482
4/2/20,552
4/3/20,620
4/4/20,698
4/5/20,813
4/6/20,845
4/7/20,900
4/8/20,1076
4/9/20,1106
4/10/20,1241
4/11/20,1279
4/12/20,1377
4/13/20,1376
4/14/20,1477
4/15/20,1494
4/16/20,1588
4/17/20,1760
4/18/20,1811
4/19/20,1849
4/20/20,1986
4/21/20,2025
4/22/20,2211
4/23/20,2482
4/24/20,2777
4/25/20,3056
4/26/20,3174
4/27/20,3328
4/28/20,3491
4/29/20,3738
4/30/20,4238
5/1/20,4449
5/2/20,4746
5/3/20,5030
5/4/20,5245
5/5/20,5458
5/6/20,5734
5/7/20,6144
5/8/20,6501
5/9/20,6751
5/10/20,6984
5/11/20,7116
5/12/20,7116
5/13/20,7468
5/14/20,7468
5/15/20,7886
5/16/20,7886
5/17/20,7886
5/18/20,8340
5/19/20,8340
5/20/20,8539
5/21/20,8539
5/22/20,8958
5/23/20,8958
5/24/20,8958
5/25/20,9218
5/26/20,9218
5/27/20,9337
5/28/20,9337
5/29/20,9719
5/30/20,9719
5/31/20,9719
6/1/20,10011
6/2/20,10011
6/3/20,10170
6/4/20,10170
6/5/20,10393
6/6/20,10393
6/7/20,10393
6/8/20,10650
6/9/20,10650
6/10/20,10812
6/11/20,10812
6/12/20,11047
6/13/20,11047
6/14/20,11047
6/15/20,11419
6/16/20,11419
6/17/20,11681
6/18/20,11681
6/19/20,12059
6/20/20,12059
6/21/20,12059
6/22/20,12465
6/23/20,12465
6/24/20,12970
6/25/20,12970
6/26/20,13538
6/27/20,13538
6/28/20,13538
6/29/20,14443
6/30/20,14443
7/1/20,14990
7/2/20,14990
7/3/20,15919
7/4/20,15919
7/5/20,15919
7/6/20,16901
7/7/20,16901
7/8/20,17618
7/9/20,17618
7/10/20,18611
7/11/20,18611
7/12/20,18611
7/13/20,20058
7/14/20,20058
7/15/20,20933
7/16/20,20933
7/17/20,21965
7/18/20,21965
7/19/20,21965
7/20/20,23334
7/21/20,23334
7/22/20,24104
7/23/20,24104
7/24/20,25109
7/25/20,25109
7/26/20,25109
7/27/20,26172
7/28/20,26172
7/29/20,26870
7/30/20,26870
7/31/20,27812
8/1/20,27812
8/2/20,27812
8/3/20,28876
8/4/20,28876
8/5/20,29717
8/6/20,29717
8/7/20,30638
8/8/20,30638
8/9/20,30638
8/10/20,31730
8/11/20,31730
8/12/20,32547
8/13/20,32547
8/14/20,33885
8/15/20,33885
8/16/20,33885
8/17/20,35167
8/18/20,35167
8/19/20,35890
8/20/20,35890
8/21/20,36856
8/22/20,36856
8/23/20,36856
8/24/20,38401
8/25/20,38401
8/26/20,39937
8/27/20,39937
8/28/20,41048
8/29/20,41048
8/30/20,41048
8/31/20,42612
9/1/20,42612
9/2/20,43940
9/3/20,43940
9/4/20,45220
9/5/20,45220
9/6/20,45220
9/7/20,46914
9/8/20,46914
9/9/20,47410
9/10/20,47410
9/11/20,48386
9/12/20,48386
9/13/20,48386
9/14/20,49899
9/15/20,49899
9/16/20,50870
9/17/20,50870
9/18/20,52285
9/19/20,52285
9/20/20,52285
9/21/20,53959
9/22/20,53959
9/23/20,55226
9/24/20,55226
9/25/20,56592
9/26/20,56592
9/27/20,56592
9/28/20,58629
9/29/20,58629
9/30/20,59749
10/1/20,59749
10/2/20,61111
10/3/20,61111
10/4/20,61111
10/5/20,62708
10/6/20,62708
10/7/20,63952
10/8/20,63952
