state,death,date
CO,9,04/26/2020
CO,9,05/04/2020
CO,9,05/18/2020
FL,99,09/22/2020
AZ,97,07/15/2020
SC,9,04/25/2020
SC,9,05/06/2020
SC,9,05/12/2020
SC,9,05/14/2020
SC,9,05/15/2020
SC,9,05/21/2020
SC,9,06/21/2020
SC,9,07/03/2020
SC,9,07/20/2020
SC,9,08/16/2020
SC,9,10/02/2020
CT,98,04/25/2020
NE,9,09/10/2020
NE,9,09/22/2020
IA,9,04/27/2020
IA,9,04/28/2020
IA,9,05/03/2020
IA,9,05/09/2020
IA,9,05/24/2020
IA,9,06/11/2020
IA,9,06/26/2020
IA,9,08/06/2020
IA,9,08/22/2020
IA,9,09/03/2020
IA,9,09/18/2020
IA,9,09/21/2020
NM,9,04/25/2020
NM,9,05/08/2020
NM,9,05/10/2020
NM,9,05/24/2020
NM,9,05/29/2020
NM,9,08/01/2020
NM,9,08/05/2020
NM,9,08/27/2020
NM,9,08/31/2020
KY,9,04/24/2020
KY,9,05/28/2020
KY,9,05/29/2020
KY,9,06/11/2020
KY,9,07/02/2020
KY,9,07/07/2020
KY,9,07/18/2020
KY,9,07/27/2020
KY,9,08/23/2020
KY,9,08/30/2020
KY,9,09/06/2020
KY,9,09/11/2020
KY,9,09/15/2020
WY,4,04/21/2020
WY,4,09/01/2020
WY,4,09/14/2020
ND,9,06/26/2020
ND,9,07/03/2020
WA,9,03/20/2020
WA,9,03/25/2020
WA,9,05/15/2020
WA,9,05/25/2020
WA,9,06/13/2020
WA,9,06/24/2020
WA,9,08/10/2020
WA,9,08/25/2020
WA,9,09/15/2020
TN,9,04/02/2020
TN,9,05/04/2020
TN,9,05/13/2020
TN,9,06/06/2020
TN,9,06/20/2020
TN,9,07/05/2020
TN,9,08/08/2020
MA,96,04/07/2020
MA,96,04/10/2020
PA,97,04/30/2020
NYC,98,05/25/2020
OH,90,05/06/2020
AL,9,04/08/2020
AL,9,05/01/2020
AL,9,05/12/2020
AL,9,05/15/2020
AL,9,05/22/2020
AL,9,09/05/2020
AL,9,09/17/2020
AL,9,09/19/2020
VA,99,05/07/2020
MI,96,04/12/2020
MS,9,04/08/2020
MS,9,05/12/2020
MS,9,06/05/2020
MS,9,06/30/2020
MS,9,09/13/2020
CA,98,05/02/2020
CA,98,05/14/2020
CA,98,10/02/2020
IL,97,04/22/2020
TX,99,07/11/2020
WI,9,04/06/2020
WI,9,04/11/2020
WI,9,04/19/2020
WI,9,04/27/2020
WI,9,05/06/2020
WI,9,05/11/2020
WI,9,05/12/2020
WI,9,05/22/2020
WI,9,06/03/2020
WI,9,06/16/2020
WI,9,06/17/2020
WI,9,06/25/2020
WI,9,07/07/2020
WI,9,08/05/2020
WI,9,09/01/2020
WI,9,09/23/2020
WI,9,09/25/2020
WI,9,10/08/2020
NJ,96,05/21/2020
NJ,96,05/23/2020
NV,9,03/31/2020
NV,9,04/08/2020
NV,9,04/17/2020
NV,9,04/22/2020
NV,9,07/10/2020
NV,9,07/18/2020
NV,9,09/24/2020
NV,9,09/26/2020
