location,Mandatory_Quarantine
United States,no
Alabama,no
Alaska,no
Arizona,yes
Arkansas,yes
California,no
Colorado,no
Connecticut,no
Delaware,yes
District of Columbia,no
Florida,yes
Georgia,no
Hawaii,no
Idaho,yes
Illinois,no
Indiana,no
Iowa,no
Kansas,no
Kentucky,yes
Louisiana,no
Maine,no
Maryland,yes
Massachusetts,no
Michigan,no
Minnesota,no
Mississippi,no
Missouri,no
Montana,yes
Nebraska,no
Nevada,no
New Hampshire,no
New Jersey,yes
New Mexico,no
New York,no
North Carolina,no
North Dakota,yes
Ohio,yes
Oklahoma,yes
Oregon,no
Pennsylvania,no
Rhode Island,no
South Carolina,yes
South Dakota,no
Tennessee,no
Texas,yes
Utah,yes
Vermont,no
Virginia,no
Washington,no
West Virginia,yes
Wisconsin,no
Wyoming,yes
