total_cases,total_deaths,date
9208669.0,231535.0,2020-11-01
9292156.0,232067.0,2020-11-02
9416709.0,233638.0,2020-11-03
9519582.0,234728.0,2020-11-04
9645772.0,235878.0,2020-11-05
9771480.0,237073.0,2020-11-06
9899516.0,238082.0,2020-11-07
10009542.0,238555.0,2020-11-08
10130752.0,239242.0,2020-11-09
10268446.0,240623.0,2020-11-10
10412095.0,242036.0,2020-11-11
10573242.0,243245.0,2020-11-12
10750810.0,244404.0,2020-11-13
10917560.0,245664.0,2020-11-14
11053501.0,246292.0,2020-11-15
11211321.0,247030.0,2020-11-16
11371895.0,248724.0,2020-11-17
11542408.0,250621.0,2020-11-18
11730441.0,252609.0,2020-11-19
11925959.0,254517.0,2020-11-20
12104056.0,255947.0,2020-11-21
12246863.0,256869.0,2020-11-22
12418378.0,257782.0,2020-11-23
12591366.0,259929.0,2020-11-24
12772653.0,262222.0,2020-11-25
12883307.0,263456.0,2020-11-26
13088821.0,264858.0,2020-11-27
13244701.0,266047.0,2020-11-28
13383370.0,266873.0,2020-11-29
13541221.0,268045.0,2020-11-30
