location,Status_of_Reopening,Stay_at_Home_Order
United States,Paused (4); New Restrictions Imposed (40); Reopened (7),Stay at Home Order Eased or Lifted (43); New Stay at Home Order in Place (1); No Action (6)
Alabama,Paused,Lifted
Alaska,Reopened,Lifted
Arizona,New Restrictions Imposed,Lifted
Arkansas,Paused,-
California,New Restrictions Imposed,Counties of High Transmission (New)
Colorado,New Restrictions Imposed,Lifted
Connecticut,New Restrictions Imposed,Lifted
Delaware,New Restrictions Imposed,Lifted
District of Columbia,New Restrictions Imposed,Lifted
Florida,Reopened,Lifted
Georgia,Paused,Rolled Back to High Risk Groups
Hawaii,New Restrictions Imposed,Lifted
Idaho,New Restrictions Imposed,Lifted
Illinois,New Restrictions Imposed,Lifted
Indiana,New Restrictions Imposed,Lifted
Iowa,New Restrictions Imposed,-
Kansas,Reopened,Lifted
Kentucky,New Restrictions Imposed,Lifted
Louisiana,New Restrictions Imposed,Lifted
Maine,New Restrictions Imposed,Lifted
Maryland,New Restrictions Imposed,Lifted
Massachusetts,New Restrictions Imposed,Rolled Back to High Risk Groups
Michigan,New Restrictions Imposed,Lifted
Minnesota,New Restrictions Imposed,Lifted
Mississippi,New Restrictions Imposed,Lifted
Missouri,Reopened,Lifted
Montana,New Restrictions Imposed,Lifted
Nebraska,New Restrictions Imposed,-
Nevada,New Restrictions Imposed,Lifted
New Hampshire,Paused,Lifted
New Jersey,New Restrictions Imposed,Lifted
New Mexico,New Restrictions Imposed,Lifted
New York,New Restrictions Imposed,Rolled Back to High Risk Groups
North Carolina,New Restrictions Imposed,Lifted
North Dakota,New Restrictions Imposed,-
Ohio,New Restrictions Imposed,Lifted
Oklahoma,New Restrictions Imposed,Lifted
Oregon,New Restrictions Imposed,Lifted
Pennsylvania,New Restrictions Imposed,Lifted
Rhode Island,New Restrictions Imposed,Lifted
South Carolina,New Restrictions Imposed,Lifted
South Dakota,Reopened,-
Tennessee,Reopened,Lifted
Texas,New Restrictions Imposed,Lifted
Utah,New Restrictions Imposed,Lifted
Vermont,New Restrictions Imposed,Lifted
Virginia,New Restrictions Imposed,Lifted
Washington,New Restrictions Imposed,Lifted
West Virginia,New Restrictions Imposed,Lifted
Wisconsin,Reopened,Lifted
Wyoming,New Restrictions Imposed,-
